x,y,z,phi,theta
-80,-40,-870,0,0
-80,0,-870,0,0
-80,40,-870,0,0
-40,-80,-870,0,0
-40,-40,-870,0,0
-40,0,-870,0,0
-40,40,-870,0,0
-40,80,-870,0,0
0,-80,-870,0,0
0,-40,-870,0,0
0,0,-870,0,0
0,40,-870,0,0
0,80,-870,0,0
40,-80,-870,0,0
40,-40,-870,0,0
40,0,-870,0,0
40,40,-870,0,0
40,80,-870,0,0
80,-40,-870,0,0
80,0,-870,0,0
80,40,-870,0,0
-80,-40,-830,0,0
-80,0,-830,0,0
-80,40,-830,0,0
-40,-80,-830,0,0
-40,-40,-830,0,0
-40,0,-830,0,0
-40,40,-830,0,0
-40,80,-830,0,0
0,-80,-830,0,0
0,-40,-830,0,0
0,0,-830,0,0
0,40,-830,0,0
0,80,-830,0,0
40,-80,-830,0,0
40,-40,-830,0,0
40,0,-830,0,0
40,40,-830,0,0
40,80,-830,0,0
80,-40,-830,0,0
80,0,-830,0,0
80,40,-830,0,0
-80,-40,-790,0,0
-80,0,-790,0,0
-80,40,-790,0,0
-40,-80,-790,0,0
-40,-40,-790,0,0
-40,0,-790,0,0
-40,40,-790,0,0
-40,80,-790,0,0
0,-80,-790,0,0
0,-40,-790,0,0
0,0,-790,0,0
0,40,-790,0,0
0,80,-790,0,0
40,-80,-790,0,0
40,-40,-790,0,0
40,0,-790,0,0
40,40,-790,0,0
40,80,-790,0,0
80,-40,-790,0,0
80,0,-790,0,0
80,40,-790,0,0
