x,y,z,phi,theta
-93.5956,23.9017,-832.165,75,10
-43.5956,-26.0983,-832.165,75,10
-43.5956,23.9017,-832.165,75,10
-43.5956,73.9017,-832.165,75,10
6.40444,-76.0983,-832.165,75,10
6.40444,-26.0983,-832.165,75,10
6.40444,23.9017,-832.165,75,10
6.40444,73.9017,-832.165,75,10
6.40444,123.902,-832.165,75,10
56.4044,-26.0983,-832.165,75,10
56.4044,23.9017,-832.165,75,10
56.4044,73.9017,-832.165,75,10
106.404,23.9017,-832.165,75,10
-93.5956,23.9017,-792.165,75,10
-43.5956,-26.0983,-792.165,75,10
-43.5956,23.9017,-792.165,75,10
-43.5956,73.9017,-792.165,75,10
6.40444,-76.0983,-792.165,75,10
6.40444,-26.0983,-792.165,75,10
6.40444,23.9017,-792.165,75,10
6.40444,73.9017,-792.165,75,10
6.40444,123.902,-792.165,75,10
56.4044,-26.0983,-792.165,75,10
56.4044,23.9017,-792.165,75,10
56.4044,73.9017,-792.165,75,10
106.404,23.9017,-792.165,75,10
-75.2551,0,-832.165,0,10
-25.2551,-50,-832.165,0,10
-25.2551,0,-832.165,0,10
-25.2551,50,-832.165,0,10
24.7449,-100,-832.165,0,10
24.7449,-50,-832.165,0,10
24.7449,0,-832.165,0,10
24.7449,50,-832.165,0,10
24.7449,100,-832.165,0,10
74.7449,-50,-832.165,0,10
74.7449,0,-832.165,0,10
74.7449,50,-832.165,0,10
124.745,0,-832.165,0,10
-75.2551,0,-792.165,0,10
-25.2551,-50,-792.165,0,10
-25.2551,0,-792.165,0,10
-25.2551,50,-792.165,0,10
24.7449,-100,-792.165,0,10
24.7449,-50,-792.165,0,10
24.7449,0,-792.165,0,10
24.7449,50,-792.165,0,10
24.7449,100,-792.165,0,10
74.7449,-50,-792.165,0,10
74.7449,0,-792.165,0,10
74.7449,50,-792.165,0,10
124.745,0,-792.165,0,10
-93.5956,-23.9017,-832.165,-75,10
-43.5956,-73.9017,-832.165,-75,10
-43.5956,-23.9017,-832.165,-75,10
-43.5956,26.0983,-832.165,-75,10
6.40444,-123.902,-832.165,-75,10
6.40444,-73.9017,-832.165,-75,10
6.40444,-23.9017,-832.165,-75,10
6.40444,26.0983,-832.165,-75,10
6.40444,76.0983,-832.165,-75,10
56.4044,-73.9017,-832.165,-75,10
56.4044,-23.9017,-832.165,-75,10
56.4044,26.0983,-832.165,-75,10
106.404,-23.9017,-832.165,-75,10
-93.5956,-23.9017,-792.165,-75,10
-43.5956,-73.9017,-792.165,-75,10
-43.5956,-23.9017,-792.165,-75,10
-43.5956,26.0983,-792.165,-75,10
6.40444,-123.902,-792.165,-75,10
6.40444,-73.9017,-792.165,-75,10
6.40444,-23.9017,-792.165,-75,10
6.40444,26.0983,-792.165,-75,10
6.40444,76.0983,-792.165,-75,10
56.4044,-73.9017,-792.165,-75,10
56.4044,-23.9017,-792.165,-75,10
56.4044,26.0983,-792.165,-75,10
106.404,-23.9017,-792.165,-75,10
-96.7855,11.9965,-830.542,75,5
-46.7855,-38.0035,-830.542,75,5
-46.7855,11.9965,-830.542,75,5
-46.7855,61.9965,-830.542,75,5
3.21445,-88.0035,-830.542,75,5
3.21445,-38.0035,-830.542,75,5
3.21445,11.9965,-830.542,75,5
3.21445,61.9965,-830.542,75,5
3.21445,111.997,-830.542,75,5
53.2145,-38.0035,-830.542,75,5
53.2145,11.9965,-830.542,75,5
53.2145,61.9965,-830.542,75,5
103.214,11.9965,-830.542,75,5
-96.7855,11.9965,-790.542,75,5
-46.7855,-38.0035,-790.542,75,5
-46.7855,11.9965,-790.542,75,5
-46.7855,61.9965,-790.542,75,5
3.21445,-88.0035,-790.542,75,5
3.21445,-38.0035,-790.542,75,5
3.21445,11.9965,-790.542,75,5
3.21445,61.9965,-790.542,75,5
3.21445,111.997,-790.542,75,5
53.2145,-38.0035,-790.542,75,5
53.2145,11.9965,-790.542,75,5
53.2145,61.9965,-790.542,75,5
103.214,11.9965,-790.542,75,5
-87.5803,0,-830.542,0,5
-37.5803,-50,-830.542,0,5
-37.5803,0,-830.542,0,5
-37.5803,50,-830.542,0,5
12.4197,-100,-830.542,0,5
12.4197,-50,-830.542,0,5
12.4197,0,-830.542,0,5
12.4197,50,-830.542,0,5
12.4197,100,-830.542,0,5
62.4197,-50,-830.542,0,5
62.4197,0,-830.542,0,5
62.4197,50,-830.542,0,5
112.42,0,-830.542,0,5
-87.5803,0,-790.542,0,5
-37.5803,-50,-790.542,0,5
-37.5803,0,-790.542,0,5
-37.5803,50,-790.542,0,5
12.4197,-100,-790.542,0,5
12.4197,-50,-790.542,0,5
12.4197,0,-790.542,0,5
12.4197,50,-790.542,0,5
12.4197,100,-790.542,0,5
62.4197,-50,-790.542,0,5
62.4197,0,-790.542,0,5
62.4197,50,-790.542,0,5
112.42,0,-790.542,0,5
-96.7855,-11.9965,-830.542,-75,5
-46.7855,-61.9965,-830.542,-75,5
-46.7855,-11.9965,-830.542,-75,5
-46.7855,38.0035,-830.542,-75,5
3.21445,-111.997,-830.542,-75,5
3.21445,-61.9965,-830.542,-75,5
3.21445,-11.9965,-830.542,-75,5
3.21445,38.0035,-830.542,-75,5
3.21445,88.0035,-830.542,-75,5
53.2145,-61.9965,-830.542,-75,5
53.2145,-11.9965,-830.542,-75,5
53.2145,38.0035,-830.542,-75,5
103.214,-11.9965,-830.542,-75,5
-96.7855,-11.9965,-790.542,-75,5
-46.7855,-61.9965,-790.542,-75,5
-46.7855,-11.9965,-790.542,-75,5
-46.7855,38.0035,-790.542,-75,5
3.21445,-111.997,-790.542,-75,5
3.21445,-61.9965,-790.542,-75,5
3.21445,-11.9965,-790.542,-75,5
3.21445,38.0035,-790.542,-75,5
3.21445,88.0035,-790.542,-75,5
53.2145,-61.9965,-790.542,-75,5
53.2145,-11.9965,-790.542,-75,5
53.2145,38.0035,-790.542,-75,5
103.214,-11.9965,-790.542,-75,5
-100,0,-830,0,0
-50,-50,-830,0,0
-50,0,-830,0,0
-50,50,-830,0,0
0,-100,-830,0,0
0,-50,-830,0,0
0,0,-830,0,0
0,50,-830,0,0
0,100,-830,0,0
50,-50,-830,0,0
50,0,-830,0,0
50,50,-830,0,0
100,0,-830,0,0
-100,0,-790,0,0
-50,-50,-790,0,0
-50,0,-790,0,0
-50,50,-790,0,0
0,-100,-790,0,0
0,-50,-790,0,0
0,0,-790,0,0
0,50,-790,0,0
0,100,-790,0,0
50,-50,-790,0,0
50,0,-790,0,0
50,50,-790,0,0
100,0,-790,0,0
