# SPR-4UPS calibrated kinematic parameters (experimental data),,,
# Units: mm (length), deg (angle),,
# Columns: param_name, value[, value...],
# Rows: one parameter per line, label then values,,
r1,253.44079,,
r2,39.88402144,,
joint_u_angle_tilt,154.7918154,,
l0_1,590.1218574,,
l0_2,507.3841213,,
l0_3,545.1250613,,
l0_4,644.1102998,,
l0_5,586.2876917,,
B_1,4.068726933,550.1363276,4.337154642
B_2,-485.4595916,-274.7393098,2.553291833
B_3,486.9119231,-281.8591748,2.200138137
B_4,429.0869662,250.1182628,6.164772763
B_5,-435.750815,252.2942161,4.10341537
Pm_1,0,148.5,148.3740125
Pm_2,-143.4399852,-38.4346282,83.3933938
Pm_3,143.4399852,-38.4346282,130.4769065
Pm_4,44.45580333,44.45580333,273.7351548
Pm_5,-44.45580333,44.45580333,269.4080994
limb_dir_1,90,90,
limb_dir_2,-149.3634562,191.9981425,
limb_dir_3,-27.73252523,-10.10746486,
limb_dir_4,28.67474225,39.77983863,
limb_dir_5,144.6928944,490.2481964,
