x,y,z,phi,theta
-75,-50,-870,0,0
-75,-25,-870,0,0
-75,0,-870,0,0
-75,25,-870,0,0
-75,50,-870,0,0
-50,-75,-870,0,0
-50,-50,-870,0,0
-50,-25,-870,0,0
-50,0,-870,0,0
-50,25,-870,0,0
-50,50,-870,0,0
-50,75,-870,0,0
-25,-75,-870,0,0
-25,-50,-870,0,0
-25,-25,-870,0,0
-25,0,-870,0,0
-25,25,-870,0,0
-25,50,-870,0,0
-25,75,-870,0,0
0,-75,-870,0,0
0,-50,-870,0,0
0,-25,-870,0,0
0,0,-870,0,0
0,25,-870,0,0
0,50,-870,0,0
0,75,-870,0,0
25,-75,-870,0,0
25,-50,-870,0,0
25,-25,-870,0,0
25,0,-870,0,0
25,25,-870,0,0
25,50,-870,0,0
25,75,-870,0,0
50,-75,-870,0,0
50,-50,-870,0,0
50,-25,-870,0,0
50,0,-870,0,0
50,25,-870,0,0
50,50,-870,0,0
50,75,-870,0,0
75,-50,-870,0,0
75,-25,-870,0,0
75,0,-870,0,0
75,25,-870,0,0
75,50,-870,0,0
-75,-50,-850,0,0
-75,-25,-850,0,0
-75,0,-850,0,0
-75,25,-850,0,0
-75,50,-850,0,0
-50,-75,-850,0,0
-50,-50,-850,0,0
-50,-25,-850,0,0
-50,0,-850,0,0
-50,25,-850,0,0
-50,50,-850,0,0
-50,75,-850,0,0
-25,-75,-850,0,0
-25,-50,-850,0,0
-25,-25,-850,0,0
-25,0,-850,0,0
-25,25,-850,0,0
-25,50,-850,0,0
-25,75,-850,0,0
0,-75,-850,0,0
0,-50,-850,0,0
0,-25,-850,0,0
0,0,-850,0,0
0,25,-850,0,0
0,50,-850,0,0
0,75,-850,0,0
25,-75,-850,0,0
25,-50,-850,0,0
25,-25,-850,0,0
25,0,-850,0,0
25,25,-850,0,0
25,50,-850,0,0
25,75,-850,0,0
50,-75,-850,0,0
50,-50,-850,0,0
50,-25,-850,0,0
50,0,-850,0,0
50,25,-850,0,0
50,50,-850,0,0
50,75,-850,0,0
75,-50,-850,0,0
75,-25,-850,0,0
75,0,-850,0,0
75,25,-850,0,0
75,50,-850,0,0
-100,0,-830,0,0
-75,-50,-830,0,0
-75,-25,-830,0,0
-75,0,-830,0,0
-75,25,-830,0,0
-75,50,-830,0,0
-50,-75,-830,0,0
-50,-50,-830,0,0
-50,-25,-830,0,0
-50,0,-830,0,0
-50,25,-830,0,0
-50,50,-830,0,0
-50,75,-830,0,0
-25,-75,-830,0,0
-25,-50,-830,0,0
-25,-25,-830,0,0
-25,0,-830,0,0
-25,25,-830,0,0
-25,50,-830,0,0
-25,75,-830,0,0
0,-100,-830,0,0
0,-75,-830,0,0
0,-50,-830,0,0
0,-25,-830,0,0
0,0,-830,0,0
0,25,-830,0,0
0,50,-830,0,0
0,75,-830,0,0
0,100,-830,0,0
25,-75,-830,0,0
25,-50,-830,0,0
25,-25,-830,0,0
25,0,-830,0,0
25,25,-830,0,0
25,50,-830,0,0
25,75,-830,0,0
50,-75,-830,0,0
50,-50,-830,0,0
50,-25,-830,0,0
50,0,-830,0,0
50,25,-830,0,0
50,50,-830,0,0
50,75,-830,0,0
75,-50,-830,0,0
75,-25,-830,0,0
75,0,-830,0,0
75,25,-830,0,0
75,50,-830,0,0
100,0,-830,0,0
-75,-50,-810,0,0
-75,-25,-810,0,0
-75,0,-810,0,0
-75,25,-810,0,0
-75,50,-810,0,0
-50,-75,-810,0,0
-50,-50,-810,0,0
-50,-25,-810,0,0
-50,0,-810,0,0
-50,25,-810,0,0
-50,50,-810,0,0
-50,75,-810,0,0
-25,-75,-810,0,0
-25,-50,-810,0,0
-25,-25,-810,0,0
-25,0,-810,0,0
-25,25,-810,0,0
-25,50,-810,0,0
-25,75,-810,0,0
0,-75,-810,0,0
0,-50,-810,0,0
0,-25,-810,0,0
0,0,-810,0,0
0,25,-810,0,0
0,50,-810,0,0
0,75,-810,0,0
25,-75,-810,0,0
25,-50,-810,0,0
25,-25,-810,0,0
25,0,-810,0,0
25,25,-810,0,0
25,50,-810,0,0
25,75,-810,0,0
50,-75,-810,0,0
50,-50,-810,0,0
50,-25,-810,0,0
50,0,-810,0,0
50,25,-810,0,0
50,50,-810,0,0
50,75,-810,0,0
75,-50,-810,0,0
75,-25,-810,0,0
75,0,-810,0,0
75,25,-810,0,0
75,50,-810,0,0
-75,-50,-790,0,0
-75,-25,-790,0,0
-75,0,-790,0,0
-75,25,-790,0,0
-75,50,-790,0,0
-50,-75,-790,0,0
-50,-50,-790,0,0
-50,-25,-790,0,0
-50,0,-790,0,0
-50,25,-790,0,0
-50,50,-790,0,0
-50,75,-790,0,0
-25,-75,-790,0,0
-25,-50,-790,0,0
-25,-25,-790,0,0
-25,0,-790,0,0
-25,25,-790,0,0
-25,50,-790,0,0
-25,75,-790,0,0
0,-75,-790,0,0
0,-50,-790,0,0
0,-25,-790,0,0
0,0,-790,0,0
0,25,-790,0,0
0,50,-790,0,0
0,75,-790,0,0
25,-75,-790,0,0
25,-50,-790,0,0
25,-25,-790,0,0
25,0,-790,0,0
25,25,-790,0,0
25,50,-790,0,0
25,75,-790,0,0
50,-75,-790,0,0
50,-50,-790,0,0
50,-25,-790,0,0
50,0,-790,0,0
50,25,-790,0,0
50,50,-790,0,0
50,75,-790,0,0
75,-50,-790,0,0
75,-25,-790,0,0
75,0,-790,0,0
75,25,-790,0,0
75,50,-790,0,0
