x,y,z,phi,theta
-40,-20,-755,0,0
-46.2098466707706,-30.7557699409872,-755.542255521926,-120,5
-27.5803066584587,-20,-755.542255521926,0,5
-46.2098466707706,-9.2442300590128,-755.542255521926,120,5
-52.3724326587688,-41.429681978212,-757.16489519576,-120,10
-15.2551346824624,-20,-757.16489519576,0,10
-52.3724326587688,1.42968197821203,-757.16489519576,120,10
-40,-20,-735,0,0
-46.2098466707706,-30.7557699409872,-735.542255521926,-120,5
-27.5803066584587,-20,-735.542255521926,0,5
-46.2098466707706,-9.2442300590128,-735.542255521926,120,5
-52.3724326587688,-41.429681978212,-737.16489519576,-120,10
-15.2551346824624,-20,-737.16489519576,0,10
-52.3724326587688,1.42968197821203,-737.16489519576,120,10
-40,-20,-715,0,0
-46.2098466707706,-30.7557699409872,-715.542255521926,-120,5
-27.5803066584587,-20,-715.542255521926,0,5
-46.2098466707706,-9.2442300590128,-715.542255521926,120,5
-52.3724326587688,-41.429681978212,-717.16489519576,-120,10
-15.2551346824624,-20,-717.16489519576,0,10
-52.3724326587688,1.42968197821203,-717.16489519576,120,10
-40,0,-755,0,0
-46.2098466707706,-10.7557699409872,-755.542255521926,-120,5
-27.5803066584587,0,-755.542255521926,0,5
-46.2098466707706,10.7557699409872,-755.542255521926,120,5
-52.3724326587688,-21.429681978212,-757.16489519576,-120,10
-15.2551346824624,0,-757.16489519576,0,10
-52.3724326587688,21.429681978212,-757.16489519576,120,10
-40,0,-735,0,0
-46.2098466707706,-10.7557699409872,-735.542255521926,-120,5
-27.5803066584587,0,-735.542255521926,0,5
-46.2098466707706,10.7557699409872,-735.542255521926,120,5
-52.3724326587688,-21.429681978212,-737.16489519576,-120,10
-15.2551346824624,0,-737.16489519576,0,10
-52.3724326587688,21.429681978212,-737.16489519576,120,10
-40,0,-715,0,0
-46.2098466707706,-10.7557699409872,-715.542255521926,-120,5
-27.5803066584587,0,-715.542255521926,0,5
-46.2098466707706,10.7557699409872,-715.542255521926,120,5
-52.3724326587688,-21.429681978212,-717.16489519576,-120,10
-15.2551346824624,0,-717.16489519576,0,10
-52.3724326587688,21.429681978212,-717.16489519576,120,10
-40,20,-755,0,0
-46.2098466707706,9.2442300590128,-755.542255521926,-120,5
-27.5803066584587,20,-755.542255521926,0,5
-46.2098466707706,30.7557699409872,-755.542255521926,120,5
-52.3724326587688,-1.42968197821203,-757.16489519576,-120,10
-15.2551346824624,20,-757.16489519576,0,10
-52.3724326587688,41.429681978212,-757.16489519576,120,10
-40,20,-735,0,0
-46.2098466707706,9.2442300590128,-735.542255521926,-120,5
-27.5803066584587,20,-735.542255521926,0,5
-46.2098466707706,30.7557699409872,-735.542255521926,120,5
-52.3724326587688,-1.42968197821203,-737.16489519576,-120,10
-15.2551346824624,20,-737.16489519576,0,10
-52.3724326587688,41.429681978212,-737.16489519576,120,10
-40,20,-715,0,0
-46.2098466707706,9.2442300590128,-715.542255521926,-120,5
-27.5803066584587,20,-715.542255521926,0,5
-46.2098466707706,30.7557699409872,-715.542255521926,120,5
-52.3724326587688,-1.42968197821203,-717.16489519576,-120,10
-15.2551346824624,20,-717.16489519576,0,10
-52.3724326587688,41.429681978212,-717.16489519576,120,10
-20,-40,-755,0,0
-26.2098466707706,-50.7557699409872,-755.542255521926,-120,5
-7.58030665845871,-40,-755.542255521926,0,5
-26.2098466707706,-29.2442300590128,-755.542255521926,120,5
-32.3724326587688,-61.429681978212,-757.16489519576,-120,10
4.74486531753757,-40,-757.16489519576,0,10
-32.3724326587688,-18.570318021788,-757.16489519576,120,10
-20,-40,-735,0,0
-26.2098466707706,-50.7557699409872,-735.542255521926,-120,5
-7.58030665845871,-40,-735.542255521926,0,5
-26.2098466707706,-29.2442300590128,-735.542255521926,120,5
-32.3724326587688,-61.429681978212,-737.16489519576,-120,10
4.74486531753757,-40,-737.16489519576,0,10
-32.3724326587688,-18.570318021788,-737.16489519576,120,10
-20,-40,-715,0,0
-26.2098466707706,-50.7557699409872,-715.542255521926,-120,5
-7.58030665845871,-40,-715.542255521926,0,5
-26.2098466707706,-29.2442300590128,-715.542255521926,120,5
-32.3724326587688,-61.429681978212,-717.16489519576,-120,10
4.74486531753757,-40,-717.16489519576,0,10
-32.3724326587688,-18.570318021788,-717.16489519576,120,10
-20,-20,-775,0,0
-26.2098466707706,-30.7557699409872,-775.542255521926,-120,5
-7.58030665845871,-20,-775.542255521926,0,5
-26.2098466707706,-9.2442300590128,-775.542255521926,120,5
-32.3724326587688,-41.429681978212,-777.16489519576,-120,10
4.74486531753757,-20,-777.16489519576,0,10
-32.3724326587688,1.42968197821203,-777.16489519576,120,10
-20,-20,-755,0,0
-26.2098466707706,-30.7557699409872,-755.542255521926,-120,5
-7.58030665845871,-20,-755.542255521926,0,5
-26.2098466707706,-9.2442300590128,-755.542255521926,120,5
-32.3724326587688,-41.429681978212,-757.16489519576,-120,10
4.74486531753757,-20,-757.16489519576,0,10
-32.3724326587688,1.42968197821203,-757.16489519576,120,10
-20,-20,-735,0,0
-26.2098466707706,-30.7557699409872,-735.542255521926,-120,5
-7.58030665845871,-20,-735.542255521926,0,5
-26.2098466707706,-9.2442300590128,-735.542255521926,120,5
-32.3724326587688,-41.429681978212,-737.16489519576,-120,10
4.74486531753757,-20,-737.16489519576,0,10
-32.3724326587688,1.42968197821203,-737.16489519576,120,10
-20,-20,-715,0,0
-26.2098466707706,-30.7557699409872,-715.542255521926,-120,5
-7.58030665845871,-20,-715.542255521926,0,5
-26.2098466707706,-9.2442300590128,-715.542255521926,120,5
-32.3724326587688,-41.429681978212,-717.16489519576,-120,10
4.74486531753757,-20,-717.16489519576,0,10
-32.3724326587688,1.42968197821203,-717.16489519576,120,10
-20,-20,-695,0,0
-26.2098466707706,-30.7557699409872,-695.542255521926,-120,5
-7.58030665845871,-20,-695.542255521926,0,5
-26.2098466707706,-9.2442300590128,-695.542255521926,120,5
-32.3724326587688,-41.429681978212,-697.16489519576,-120,10
4.74486531753757,-20,-697.16489519576,0,10
-32.3724326587688,1.42968197821203,-697.16489519576,120,10
-20,0,-775,0,0
-26.2098466707706,-10.7557699409872,-775.542255521926,-120,5
-7.58030665845871,0,-775.542255521926,0,5
-26.2098466707706,10.7557699409872,-775.542255521926,120,5
-32.3724326587688,-21.429681978212,-777.16489519576,-120,10
4.74486531753757,0,-777.16489519576,0,10
-32.3724326587688,21.429681978212,-777.16489519576,120,10
-20,0,-755,0,0
-26.2098466707706,-10.7557699409872,-755.542255521926,-120,5
