x,y,z,phi,theta
-75,-50,-1012.5,0,0
-75,-25,-1012.5,0,0
-75,0,-1012.5,0,0
-75,25,-1012.5,0,0
-75,50,-1012.5,0,0
-50,-75,-1012.5,0,0
-50,-50,-1012.5,0,0
-50,-25,-1012.5,0,0
-50,0,-1012.5,0,0
-50,25,-1012.5,0,0
-50,50,-1012.5,0,0
-50,75,-1012.5,0,0
-25,-75,-1012.5,0,0
-25,-50,-1012.5,0,0
-25,-25,-1012.5,0,0
-25,0,-1012.5,0,0
-25,25,-1012.5,0,0
-25,50,-1012.5,0,0
-25,75,-1012.5,0,0
0,-75,-1012.5,0,0
0,-50,-1012.5,0,0
0,-25,-1012.5,0,0
0,0,-1012.5,0,0
0,25,-1012.5,0,0
0,50,-1012.5,0,0
0,75,-1012.5,0,0
25,-75,-1012.5,0,0
25,-50,-1012.5,0,0
25,-25,-1012.5,0,0
25,0,-1012.5,0,0
25,25,-1012.5,0,0
25,50,-1012.5,0,0
25,75,-1012.5,0,0
50,-75,-1012.5,0,0
50,-50,-1012.5,0,0
50,-25,-1012.5,0,0
50,0,-1012.5,0,0
50,25,-1012.5,0,0
50,50,-1012.5,0,0
50,75,-1012.5,0,0
75,-50,-1012.5,0,0
75,-25,-1012.5,0,0
75,0,-1012.5,0,0
75,25,-1012.5,0,0
75,50,-1012.5,0,0
-75,-50,-992.5,0,0
-75,-25,-992.5,0,0
-75,0,-992.5,0,0
-75,25,-992.5,0,0
-75,50,-992.5,0,0
-50,-75,-992.5,0,0
-50,-50,-992.5,0,0
-50,-25,-992.5,0,0
-50,0,-992.5,0,0
-50,25,-992.5,0,0
-50,50,-992.5,0,0
-50,75,-992.5,0,0
-25,-75,-992.5,0,0
-25,-50,-992.5,0,0
-25,-25,-992.5,0,0
-25,0,-992.5,0,0
-25,25,-992.5,0,0
-25,50,-992.5,0,0
-25,75,-992.5,0,0
0,-75,-992.5,0,0
0,-50,-992.5,0,0
0,-25,-992.5,0,0
0,0,-992.5,0,0
0,25,-992.5,0,0
0,50,-992.5,0,0
0,75,-992.5,0,0
25,-75,-992.5,0,0
25,-50,-992.5,0,0
25,-25,-992.5,0,0
25,0,-992.5,0,0
25,25,-992.5,0,0
25,50,-992.5,0,0
25,75,-992.5,0,0
50,-75,-992.5,0,0
50,-50,-992.5,0,0
50,-25,-992.5,0,0
50,0,-992.5,0,0
50,25,-992.5,0,0
50,50,-992.5,0,0
50,75,-992.5,0,0
75,-50,-992.5,0,0
75,-25,-992.5,0,0
75,0,-992.5,0,0
75,25,-992.5,0,0
75,50,-992.5,0,0
-100,0,-972.5,0,0
-75,-50,-972.5,0,0
-75,-25,-972.5,0,0
-75,0,-972.5,0,0
-75,25,-972.5,0,0
-75,50,-972.5,0,0
-50,-75,-972.5,0,0
-50,-50,-972.5,0,0
-50,-25,-972.5,0,0
-50,0,-972.5,0,0
-50,25,-972.5,0,0
-50,50,-972.5,0,0
-50,75,-972.5,0,0
-25,-75,-972.5,0,0
-25,-50,-972.5,0,0
-25,-25,-972.5,0,0
-25,0,-972.5,0,0
-25,25,-972.5,0,0
-25,50,-972.5,0,0
-25,75,-972.5,0,0
0,-100,-972.5,0,0
0,-75,-972.5,0,0
0,-50,-972.5,0,0
0,-25,-972.5,0,0
0,0,-972.5,0,0
0,25,-972.5,0,0
0,50,-972.5,0,0
0,75,-972.5,0,0
0,100,-972.5,0,0
25,-75,-972.5,0,0
25,-50,-972.5,0,0
25,-25,-972.5,0,0
25,0,-972.5,0,0
25,25,-972.5,0,0
25,50,-972.5,0,0
25,75,-972.5,0,0
50,-75,-972.5,0,0
50,-50,-972.5,0,0
50,-25,-972.5,0,0
50,0,-972.5,0,0
50,25,-972.5,0,0
50,50,-972.5,0,0
50,75,-972.5,0,0
75,-50,-972.5,0,0
75,-25,-972.5,0,0
75,0,-972.5,0,0
75,25,-972.5,0,0
75,50,-972.5,0,0
100,0,-972.5,0,0
-75,-50,-952.5,0,0
-75,-25,-952.5,0,0
-75,0,-952.5,0,0
-75,25,-952.5,0,0
-75,50,-952.5,0,0
-50,-75,-952.5,0,0
-50,-50,-952.5,0,0
-50,-25,-952.5,0,0
-50,0,-952.5,0,0
-50,25,-952.5,0,0
-50,50,-952.5,0,0
-50,75,-952.5,0,0
-25,-75,-952.5,0,0
-25,-50,-952.5,0,0
-25,-25,-952.5,0,0
-25,0,-952.5,0,0
-25,25,-952.5,0,0
-25,50,-952.5,0,0
-25,75,-952.5,0,0
0,-75,-952.5,0,0
0,-50,-952.5,0,0
0,-25,-952.5,0,0
0,0,-952.5,0,0
0,25,-952.5,0,0
0,50,-952.5,0,0
0,75,-952.5,0,0
25,-75,-952.5,0,0
25,-50,-952.5,0,0
25,-25,-952.5,0,0
25,0,-952.5,0,0
25,25,-952.5,0,0
25,50,-952.5,0,0
25,75,-952.5,0,0
50,-75,-952.5,0,0
50,-50,-952.5,0,0
50,-25,-952.5,0,0
50,0,-952.5,0,0
50,25,-952.5,0,0
50,50,-952.5,0,0
50,75,-952.5,0,0
75,-50,-952.5,0,0
75,-25,-952.5,0,0
75,0,-952.5,0,0
75,25,-952.5,0,0
75,50,-952.5,0,0
-75,-50,-932.5,0,0
-75,-25,-932.5,0,0
-75,0,-932.5,0,0
-75,25,-932.5,0,0
-75,50,-932.5,0,0
-50,-75,-932.5,0,0
-50,-50,-932.5,0,0
-50,-25,-932.5,0,0
-50,0,-932.5,0,0
-50,25,-932.5,0,0
-50,50,-932.5,0,0
-50,75,-932.5,0,0
-25,-75,-932.5,0,0
-25,-50,-932.5,0,0
-25,-25,-932.5,0,0
-25,0,-932.5,0,0
-25,25,-932.5,0,0
-25,50,-932.5,0,0
-25,75,-932.5,0,0
0,-75,-932.5,0,0
0,-50,-932.5,0,0
0,-25,-932.5,0,0
0,0,-932.5,0,0
0,25,-932.5,0,0
0,50,-932.5,0,0
0,75,-932.5,0,0
25,-75,-932.5,0,0
25,-50,-932.5,0,0
25,-25,-932.5,0,0
25,0,-932.5,0,0
25,25,-932.5,0,0
25,50,-932.5,0,0
25,75,-932.5,0,0
50,-75,-932.5,0,0
50,-50,-932.5,0,0
50,-25,-932.5,0,0
50,0,-932.5,0,0
50,25,-932.5,0,0
50,50,-932.5,0,0
50,75,-932.5,0,0
75,-50,-932.5,0,0
75,-25,-932.5,0,0
75,0,-932.5,0,0
75,25,-932.5,0,0
75,50,-932.5,0,0
