x,y,z,phi,theta
-40,-20,-897.5,0,0
-40,-20,-897.5,-120,5
-40,-20,-897.5,0,5
-40,-20,-897.5,120,5
-40,-20,-897.5,-120,10
-40,-20,-897.5,0,10
-40,-20,-897.5,120,10
-40,-20,-877.5,0,0
-40,-20,-877.5,-120,5
-40,-20,-877.5,0,5
-40,-20,-877.5,120,5
-40,-20,-877.5,-120,10
-40,-20,-877.5,0,10
-40,-20,-877.5,120,10
-40,-20,-857.5,0,0
-40,-20,-857.5,-120,5
-40,-20,-857.5,0,5
-40,-20,-857.5,120,5
-40,-20,-857.5,-120,10
-40,-20,-857.5,0,10
-40,-20,-857.5,120,10
-40,0,-897.5,0,0
-40,0,-897.5,-120,5
-40,0,-897.5,0,5
-40,0,-897.5,120,5
-40,0,-897.5,-120,10
-40,0,-897.5,0,10
-40,0,-897.5,120,10
-40,0,-877.5,0,0
-40,0,-877.5,-120,5
-40,0,-877.5,0,5
-40,0,-877.5,120,5
-40,0,-877.5,-120,10
-40,0,-877.5,0,10
-40,0,-877.5,120,10
-40,0,-857.5,0,0
-40,0,-857.5,-120,5
-40,0,-857.5,0,5
-40,0,-857.5,120,5
-40,0,-857.5,-120,10
-40,0,-857.5,0,10
-40,0,-857.5,120,10
-40,20,-897.5,0,0
-40,20,-897.5,-120,5
-40,20,-897.5,0,5
-40,20,-897.5,120,5
-40,20,-897.5,-120,10
-40,20,-897.5,0,10
-40,20,-897.5,120,10
-40,20,-877.5,0,0
-40,20,-877.5,-120,5
-40,20,-877.5,0,5
-40,20,-877.5,120,5
-40,20,-877.5,-120,10
-40,20,-877.5,0,10
-40,20,-877.5,120,10
-40,20,-857.5,0,0
-40,20,-857.5,-120,5
-40,20,-857.5,0,5
-40,20,-857.5,120,5
-40,20,-857.5,-120,10
-40,20,-857.5,0,10
-40,20,-857.5,120,10
-20,-40,-897.5,0,0
-20,-40,-897.5,-120,5
-20,-40,-897.5,0,5
-20,-40,-897.5,120,5
-20,-40,-897.5,-120,10
-20,-40,-897.5,0,10
-20,-40,-897.5,120,10
-20,-40,-877.5,0,0
-20,-40,-877.5,-120,5
-20,-40,-877.5,0,5
-20,-40,-877.5,120,5
-20,-40,-877.5,-120,10
-20,-40,-877.5,0,10
-20,-40,-877.5,120,10
-20,-40,-857.5,0,0
-20,-40,-857.5,-120,5
-20,-40,-857.5,0,5
-20,-40,-857.5,120,5
-20,-40,-857.5,-120,10
-20,-40,-857.5,0,10
-20,-40,-857.5,120,10
-20,-20,-917.5,0,0
-20,-20,-917.5,-120,5
-20,-20,-917.5,0,5
-20,-20,-917.5,120,5
-20,-20,-917.5,-120,10
-20,-20,-917.5,0,10
-20,-20,-917.5,120,10
-20,-20,-897.5,0,0
-20,-20,-897.5,-120,5
-20,-20,-897.5,0,5
-20,-20,-897.5,120,5
-20,-20,-897.5,-120,10
-20,-20,-897.5,0,10
-20,-20,-897.5,120,10
-20,-20,-877.5,0,0
-20,-20,-877.5,-120,5
-20,-20,-877.5,0,5
-20,-20,-877.5,120,5
-20,-20,-877.5,-120,10
-20,-20,-877.5,0,10
-20,-20,-877.5,120,10
-20,-20,-857.5,0,0
-20,-20,-857.5,-120,5
-20,-20,-857.5,0,5
-20,-20,-857.5,120,5
-20,-20,-857.5,-120,10
-20,-20,-857.5,0,10
-20,-20,-857.5,120,10
-20,-20,-837.5,0,0
-20,-20,-837.5,-120,5
-20,-20,-837.5,0,5
-20,-20,-837.5,120,5
-20,-20,-837.5,-120,10
-20,-20,-837.5,0,10
-20,-20,-837.5,120,10
-20,0,-917.5,0,0
-20,0,-917.5,-120,5
-20,0,-917.5,0,5
-20,0,-917.5,120,5
-20,0,-917.5,-120,10
-20,0,-917.5,0,10
-20,0,-917.5,120,10
-20,0,-897.5,0,0
-20,0,-897.5,-120,5
-20,0,-897.5,0,5
-20,0,-897.5,120,5
-20,0,-897.5,-120,10
-20,0,-897.5,0,10
-20,0,-897.5,120,10
-20,0,-877.5,0,0
-20,0,-877.5,-120,5
-20,0,-877.5,0,5
-20,0,-877.5,120,5
-20,0,-877.5,-120,10
-20,0,-877.5,0,10
-20,0,-877.5,120,10
-20,0,-857.5,0,0
-20,0,-857.5,-120,5
-20,0,-857.5,0,5
-20,0,-857.5,120,5
-20,0,-857.5,-120,10
-20,0,-857.5,0,10
-20,0,-857.5,120,10
-20,0,-837.5,0,0
-20,0,-837.5,-120,5
-20,0,-837.5,0,5
-20,0,-837.5,120,5
-20,0,-837.5,-120,10
-20,0,-837.5,0,10
-20,0,-837.5,120,10
-20,20,-917.5,0,0
-20,20,-917.5,-120,5
-20,20,-917.5,0,5
-20,20,-917.5,120,5
-20,20,-917.5,-120,10
-20,20,-917.5,0,10
-20,20,-917.5,120,10
-20,20,-897.5,0,0
-20,20,-897.5,-120,5
-20,20,-897.5,0,5
-20,20,-897.5,120,5
-20,20,-897.5,-120,10
-20,20,-897.5,0,10
-20,20,-897.5,120,10
-20,20,-877.5,0,0
-20,20,-877.5,-120,5
-20,20,-877.5,0,5
-20,20,-877.5,120,5
-20,20,-877.5,-120,10
-20,20,-877.5,0,10
-20,20,-877.5,120,10
